country,region,targtype1,targsubtype1,weaptype(hot = 1),weaptype1,nkill,nwound
4,6,22,109,0,9,3,0
4,6,12,62,0,9,3,0
4,6,14,71,0,9,3,0
4,6,15,85,0,9,1,0
4,6,15,85,0,9,1,0
4,6,8,50,0,9,1,0
4,6,2,20,0,9,2,0
4,6,1,,0,9,1,0
4,6,3,25,0,9,1,0
4,6,3,25,0,9,3,0
4,6,14,,0,9,2,0
4,6,14,77,0,9,0,4
4,6,14,77,0,9,0,3
4,6,14,77,0,9,1,0
4,6,3,25,0,9,1,0
4,6,14,,0,9,1,0
4,6,14,71,0,9,1,0
4,6,3,25,0,9,3,0
4,6,2,14,0,9,4,0
4,6,3,25,0,9,2,0
4,6,14,67,0,9,2,0
4,6,3,24,0,9,7,0
4,6,14,67,0,9,1,0
4,6,14,67,0,9,1,0
4,6,1,12,0,9,4,0
4,6,2,18,0,9,1,0
4,6,14,67,0,9,2,0
4,6,14,68,0,9,1,0
4,6,14,76,0,9,1,0
4,6,3,25,0,9,2,0
4,6,2,18,0,9,1,0
4,6,2,18,0,9,2,0
4,6,19,99,0,9,17,0
4,6,2,18,0,9,1,0
4,6,2,18,0,9,3,0
4,6,14,67,0,9,0,2
4,6,14,67,0,9,2,0
4,6,14,67,0,9,1,0
4,6,14,67,0,9,1,0
4,6,14,67,0,9,2,0
4,6,8,48,0,9,0,1
4,6,2,18,0,9,1,0
4,6,14,67,0,9,2,0
4,6,14,77,0,9,1,0
4,6,3,25,0,9,2,0
4,6,14,67,0,9,1,0
4,6,14,67,0,9,1,0
4,6,14,67,0,9,11,0
4,6,3,25,0,9,6,0
4,6,14,67,0,9,1,0
4,6,14,67,0,9,2,0
4,6,14,77,0,9,1,0
4,6,14,67,0,9,0,1
4,6,1,,0,9,0,7
4,6,14,67,0,9,2,0
4,6,14,70,0,9,4,0
4,6,2,15,0,9,1,0
4,6,17,93,0,9,0,4
4,6,14,67,0,9,1,0
4,6,3,25,0,9,1,0
4,6,14,67,0,9,4,0
4,6,3,25,0,9,1,0
4,6,14,67,0,9,4,0
4,6,15,85,0,9,1,0
4,6,3,25,0,9,1,0
4,6,14,67,0,9,1,0
4,6,14,67,0,9,1,0
4,6,2,18,0,9,1,0
4,6,4,37,0,9,1,0
4,6,4,37,0,9,0,2
4,6,4,34,0,9,4,0
4,6,14,77,0,9,2,0
4,6,3,25,0,9,4,0
4,6,4,34,0,9,2,0
4,6,3,25,0,9,6,0
4,6,3,22,0,9,3,0
4,6,14,76,0,9,1,1
4,6,14,67,0,9,,
